"('grid4FR', 'U1D', 'MCTS', True)",0.17,0.002,"((0.17, 0.0), (0.17, 0.001), (0.17, 0.001), (0.17, 0.001), (0.17, 0.001), (0.17, 0.001), (0.17, 0.002), (0.17, 0.002), (0.17, 0.002), (0.17, 0.002))"
"('grid4FR', 'U1S', 'MCTS', True)",0.92,0.007,"((0.17, 0.001), (0.17, 0.002), (0.17, 0.002), (0.17, 0.002), (0.17, 0.003), (0.17, 0.003), (0.17, 0.004), (0.92, 0.005), (0.92, 0.006), (0.92, 0.007))"
"('grid4FR', 'U1S', 'BFS', True)",3.56,8.178476790000001,"((3.56, 8.178476790000001),)"
"('grid4FR', 'U1S', 'BNB', True)",3.56,2.975881652,"((3.56, 2.975881652),)"
"('grid4FR', 'U1D', 'MCTS', False)",1.0,0.002,"((0.17, 0.0), (0.92, 0.001), (0.92, 0.001), (0.92, 0.001), (1.0, 0.001), (1.0, 0.001), (1.0, 0.001), (1.0, 0.002), (1.0, 0.002), (1.0, 0.002))"
"('grid4FR', 'U1S', 'MCTS', False)",0.92,0.008,"((0.17, 0.001), (0.92, 0.002), (0.92, 0.003), (0.92, 0.004), (0.92, 0.005), (0.92, 0.005), (0.92, 0.006), (0.92, 0.007), (0.92, 0.007), (0.92, 0.008))"
"('grid4FR', 'U1S', 'BFS', False)",3.56,0.36082890099999965,"((3.56, 0.36082890099999965),)"
"('grid4FR', 'U1S', 'BNB', False)",3.56,0.22619323700000038,"((3.56, 0.22619323700000038),)"
"('grid4FR', 'U1D', 'MCTS', True)",2.03,1.008,"((0.17, 0.0), (0.92, 0.009), (0.92, 0.022), (1.0, 0.03), (1.0, 0.037), (1.0, 0.043), (1.0, 0.051), (1.09, 0.06), (1.09, 0.069), (1.09, 0.081), (1.09, 0.095), (1.09, 0.109), (1.09, 0.123), (1.09, 0.136), (1.09, 0.147), (1.09, 0.157), (1.09, 0.168), (1.09, 0.177), (1.09, 0.183), (1.09, 0.19), (1.09, 0.197), (1.09, 0.203), (1.09, 0.208), (1.09, 0.213), (1.09, 0.218), (1.09, 0.223), (1.09, 0.228), (1.09, 0.233), (1.09, 0.238), (1.09, 0.244), (1.09, 0.249), (1.09, 0.254), (2.03, 0.26), (2.03, 0.265), (2.03, 0.27), (2.03, 0.275), (2.03, 0.281), (2.03, 0.286), (2.03, 0.292), (2.03, 0.297), (2.03, 0.304), (2.03, 0.31), (2.03, 0.316), (2.03, 0.323), (2.03, 0.33), (2.03, 0.336), (2.03, 0.343), (2.03, 0.35), (2.03, 0.357), (2.03, 0.364), (2.03, 0.373), (2.03, 0.382), (2.03, 0.39), (2.03, 0.399), (2.03, 0.407), (2.03, 0.415), (2.03, 0.424), (2.03, 0.455), (2.03, 0.468), (2.03, 0.478), (2.03, 0.488), (2.03, 0.499), (2.03, 0.508), (2.03, 0.518), (2.03, 0.529), (2.03, 0.539), (2.03, 0.55), (2.03, 0.562), (2.03, 0.573), (2.03, 0.584), (2.03, 0.594), (2.03, 0.606), (2.03, 0.618), (2.03, 0.629), (2.03, 0.641), (2.03, 0.652), (2.03, 0.665), (2.03, 0.677), (2.03, 0.686), (2.03, 0.727), (2.03, 0.738), (2.03, 0.749), (2.03, 0.761), (2.03, 0.772), (2.03, 0.782), (2.03, 0.793), (2.03, 0.804), (2.03, 0.816), (2.03, 0.827), (2.03, 0.839), (2.03, 0.854), (2.03, 0.866), (2.03, 0.877), (2.03, 0.889), (2.03, 0.901), (2.03, 0.915), (2.03, 0.926), (2.03, 0.937), (2.03, 0.986), (2.03, 0.997), (2.03, 1.008))"
"('grid4FR', 'U1S', 'MCTS', True)",2.73,2.078,"((0.17, 0.001), (0.92, 0.024), (0.92, 0.063), (1.0, 0.076), (1.0, 0.089), (2.03, 0.101), (2.03, 0.115), (2.03, 0.134), (2.03, 0.16), (2.03, 0.187), (2.03, 0.225), (2.03, 0.26), (2.03, 0.297), (2.03, 0.328), (2.03, 0.354), (2.03, 0.38), (2.03, 0.405), (2.03, 0.423), (1.86, 0.44), (1.86, 0.455), (1.86, 0.465), (1.86, 0.473), (1.86, 0.482), (1.86, 0.49), (1.94, 0.498), (1.94, 0.506), (1.94, 0.514), (1.94, 0.522), (2.73, 0.529), (2.73, 0.537), (2.73, 0.545), (2.73, 0.553), (2.73, 0.561), (2.73, 0.57), (2.73, 0.579), (2.73, 0.588), (2.73, 0.598), (2.73, 0.606), (2.73, 0.614), (2.73, 0.624), (2.73, 0.634), (2.73, 0.642), (2.73, 0.653), (2.73, 0.668), (2.73, 0.692), (2.73, 0.716), (2.73, 0.731), (2.73, 0.747), (2.73, 0.76), (2.73, 0.772), (2.73, 0.786), (2.73, 0.804), (2.73, 0.821), (2.73, 0.836), (2.73, 0.854), (2.73, 0.875), (2.73, 0.896), (2.73, 0.919), (2.73, 0.941), (2.73, 0.965), (2.73, 0.998), (2.73, 1.025), (2.73, 1.043), (2.73, 1.066), (2.73, 1.089), (2.73, 1.112), (2.73, 1.132), (2.73, 1.157), (2.73, 1.182), (2.73, 1.207), (2.73, 1.231), (2.73, 1.253), (2.73, 1.28), (2.73, 1.308), (2.73, 1.338), (2.73, 1.366), (2.73, 1.392), (2.73, 1.502), (2.73, 1.526), (2.73, 1.55), (2.73, 1.574), (2.73, 1.597), (2.73, 1.617), (2.73, 1.643), (2.73, 1.67), (2.73, 1.694), (2.73, 1.718), (2.73, 1.743), (2.73, 1.77), (2.73, 1.796), (2.73, 1.823), (2.73, 1.849), (2.73, 1.875), (2.73, 1.9), (2.73, 1.925), (2.73, 1.95), (2.73, 1.979), (2.73, 2.005), (2.73, 2.031), (2.73, 2.052), (2.73, 2.078))"
"('grid4FR', 'U1S', 'BFS', True)",3.56,8.150926698,"((3.56, 8.150926698),)"
"('grid4FR', 'U1S', 'BNB', True)",3.56,2.9929667979999994,"((3.56, 2.9929667979999994),)"
"('grid4FR', 'U1D', 'MCTS', False)",1.94,0.367,"((0.17, 0.0), (1.16, 0.008), (2.03, 0.016), (2.03, 0.022), (2.03, 0.027), (2.03, 0.035), (2.03, 0.042), (2.03, 0.049), (1.84, 0.056), (1.84, 0.061), (1.84, 0.067), (1.84, 0.071), (1.84, 0.075), (1.84, 0.079), (1.84, 0.082), (1.84, 0.086), (1.84, 0.089), (1.84, 0.092), (1.84, 0.096), (1.84, 0.099), (1.84, 0.103), (1.84, 0.106), (1.84, 0.109), (2.89, 0.112), (2.89, 0.116), (2.89, 0.119), (2.89, 0.122), (2.89, 0.126), (2.89, 0.129), (2.89, 0.132), (2.89, 0.135), (2.89, 0.139), (2.89, 0.142), (2.89, 0.145), (2.89, 0.149), (2.89, 0.152), (2.89, 0.155), (2.89, 0.158), (2.89, 0.162), (2.89, 0.165), (2.89, 0.168), (2.89, 0.172), (2.89, 0.175), (2.89, 0.178), (2.89, 0.182), (2.89, 0.185), (2.89, 0.188), (2.89, 0.191), (2.89, 0.195), (2.89, 0.198), (2.89, 0.202), (2.89, 0.205), (2.89, 0.208), (2.89, 0.212), (2.89, 0.215), (2.89, 0.218), (2.89, 0.221), (2.89, 0.225), (2.89, 0.228), (2.89, 0.231), (2.89, 0.235), (2.89, 0.238), (2.89, 0.241), (2.89, 0.245), (2.89, 0.248), (2.89, 0.251), (2.89, 0.255), (2.89, 0.258), (2.89, 0.261), (2.89, 0.264), (2.89, 0.268), (2.89, 0.271), (2.89, 0.274), (2.89, 0.278), (2.89, 0.281), (2.89, 0.284), (2.89, 0.288), (2.89, 0.291), (2.89, 0.294), (2.89, 0.298), (2.89, 0.301), (2.89, 0.304), (2.89, 0.308), (2.89, 0.311), (2.89, 0.314), (2.89, 0.318), (2.89, 0.321), (2.89, 0.324), (2.89, 0.328), (2.89, 0.331), (2.89, 0.334), (2.89, 0.337), (2.89, 0.341), (2.89, 0.344), (2.89, 0.347), (2.89, 0.351), (2.89, 0.354), (1.94, 0.357), (1.94, 0.361), (1.94, 0.364), (1.94, 0.367))"
"('grid4FR', 'U1S', 'MCTS', False)",3.56,0.498,"((0.17, 0.001), (1.09, 0.027), (2.03, 0.055), (2.8, 0.071), (2.8, 0.085), (2.8, 0.105), (2.81, 0.127), (2.81, 0.148), (2.81, 0.166), (2.81, 0.181), (3.52, 0.193), (3.52, 0.202), (3.52, 0.209), (3.56, 0.214), (3.56, 0.218), (3.56, 0.221), (3.56, 0.224), (3.56, 0.227), (3.56, 0.23), (3.56, 0.234), (3.56, 0.237), (3.56, 0.24), (3.56, 0.243), (3.56, 0.247), (3.56, 0.25), (3.56, 0.253), (3.56, 0.256), (3.56, 0.26), (3.56, 0.263), (3.56, 0.266), (3.56, 0.269), (3.56, 0.273), (3.56, 0.276), (3.56, 0.279), (3.56, 0.282), (3.56, 0.286), (3.56, 0.289), (3.56, 0.292), (3.56, 0.295), (3.56, 0.298), (3.56, 0.302), (3.56, 0.305), (3.56, 0.308), (3.56, 0.311), (3.56, 0.315), (3.56, 0.318), (3.56, 0.321), (3.56, 0.324), (3.56, 0.328), (3.56, 0.331), (3.56, 0.334), (3.56, 0.337), (3.56, 0.341), (3.56, 0.344), (3.56, 0.347), (3.56, 0.35), (3.56, 0.353), (3.56, 0.357), (3.56, 0.36), (3.56, 0.363), (3.56, 0.367), (3.56, 0.37), (3.56, 0.373), (3.56, 0.376), (3.56, 0.379), (3.56, 0.383), (3.56, 0.386), (3.56, 0.389), (3.56, 0.392), (3.56, 0.396), (3.56, 0.399), (3.56, 0.402), (3.56, 0.405), (3.56, 0.409), (3.56, 0.412), (3.56, 0.415), (3.56, 0.419), (3.56, 0.422), (3.56, 0.425), (3.56, 0.428), (3.56, 0.432), (3.56, 0.435), (3.56, 0.438), (3.56, 0.442), (3.56, 0.445), (3.56, 0.448), (3.56, 0.452), (3.56, 0.455), (3.56, 0.458), (3.56, 0.462), (3.56, 0.465), (3.56, 0.469), (3.56, 0.472), (3.56, 0.475), (3.56, 0.479), (3.56, 0.482), (3.56, 0.485), (3.56, 0.488), (3.56, 0.492), (3.56, 0.495), (3.56, 0.498))"
"('grid4FR', 'U1S', 'BFS', False)",3.56,0.38223462999999924,"((3.56, 0.38223462999999924),)"
"('grid4FR', 'U1S', 'BNB', False)",3.56,0.23511091700000009,"((3.56, 0.23511091700000009),)"
"('grid3FR', 'U1D', 'MCTS', True)",1.23,1.196,"((0.43, 0.0), (1.23, 0.011), (1.23, 0.026), (1.23, 0.036), (1.23, 0.044), (1.23, 0.052), (1.23, 0.061), (1.23, 0.072), (1.23, 0.086), (1.23, 0.1), (1.23, 0.116), (1.23, 0.13), (1.23, 0.144), (1.23, 0.159), (1.23, 0.172), (1.23, 0.182), (1.23, 0.194), (1.23, 0.204), (1.23, 0.213), (1.23, 0.222), (1.23, 0.23), (1.23, 0.238), (1.23, 0.246), (1.23, 0.254), (1.23, 0.261), (1.23, 0.268), (1.23, 0.275), (1.23, 0.282), (1.23, 0.289), (1.23, 0.296), (1.23, 0.303), (1.23, 0.31), (1.23, 0.317), (1.23, 0.325), (1.23, 0.332), (1.23, 0.339), (1.23, 0.346), (1.23, 0.354), (1.23, 0.362), (1.23, 0.37), (1.23, 0.377), (1.23, 0.385), (1.23, 0.394), (1.23, 0.403), (1.23, 0.413), (1.23, 0.424), (1.23, 0.433), (1.23, 0.443), (1.23, 0.452), (1.23, 0.462), (1.23, 0.473), (1.23, 0.484), (1.23, 0.495), (1.23, 0.507), (1.23, 0.518), (1.23, 0.528), (1.23, 0.56), (1.23, 0.572), (1.23, 0.586), (1.23, 0.599), (1.23, 0.611), (1.23, 0.624), (1.23, 0.637), (1.23, 0.648), (1.23, 0.661), (1.23, 0.674), (1.23, 0.688), (1.23, 0.702), (1.23, 0.716), (1.23, 0.73), (1.23, 0.743), (1.23, 0.757), (1.23, 0.771), (1.23, 0.785), (1.23, 0.799), (1.23, 0.813), (1.23, 0.857), (1.23, 0.87), (1.23, 0.883), (1.23, 0.896), (1.23, 0.909), (1.23, 0.92), (1.23, 0.932), (1.23, 0.943), (1.23, 0.956), (1.23, 0.968), (1.23, 0.981), (1.23, 0.994), (1.23, 1.007), (1.23, 1.02), (1.23, 1.033), (1.23, 1.045), (1.23, 1.058), (1.23, 1.07), (1.23, 1.082), (1.23, 1.097), (1.23, 1.109), (1.23, 1.121), (1.23, 1.171), (1.23, 1.184), (1.23, 1.196))"
"('grid3FR', 'U1S', 'MCTS', True)",2.41,2.372,"((0.43, 0.001), (2.01, 0.026), (0.91, 0.066), (2.01, 0.083), (2.01, 0.098), (1.88, 0.114), (1.88, 0.133), (1.88, 0.155), (1.88, 0.185), (1.88, 0.219), (1.88, 0.254), (1.88, 0.291), (1.88, 0.329), (1.88, 0.362), (1.88, 0.387), (1.88, 0.412), (1.88, 0.435), (1.88, 0.454), (1.88, 0.472), (1.88, 0.498), (1.88, 0.525), (1.88, 0.538), (1.88, 0.55), (1.88, 0.562), (1.88, 0.574), (1.88, 0.586), (1.88, 0.597), (1.88, 0.609), (1.88, 0.622), (1.88, 0.634), (1.88, 0.645), (1.88, 0.657), (1.88, 0.669), (1.88, 0.681), (1.88, 0.695), (1.88, 0.708), (1.88, 0.721), (1.88, 0.735), (1.88, 0.747), (1.88, 0.76), (2.36, 0.775), (2.36, 0.791), (2.36, 0.818), (2.36, 0.836), (2.36, 0.856), (2.36, 0.873), (2.36, 0.894), (2.36, 0.915), (2.36, 0.933), (2.36, 0.951), (2.36, 0.971), (2.36, 0.991), (2.36, 1.013), (2.36, 1.034), (2.36, 1.056), (2.36, 1.082), (2.36, 1.109), (2.36, 1.139), (2.36, 1.165), (2.36, 1.192), (2.36, 1.219), (2.36, 1.245), (2.36, 1.272), (2.36, 1.303), (2.36, 1.329), (2.36, 1.359), (2.36, 1.385), (2.36, 1.413), (2.36, 1.443), (2.36, 1.471), (2.36, 1.499), (2.36, 1.53), (2.36, 1.559), (2.36, 1.59), (2.36, 1.619), (2.36, 1.648), (2.36, 1.757), (2.36, 1.785), (2.41, 1.814), (2.41, 1.837), (2.41, 1.857), (2.41, 1.879), (2.41, 1.903), (2.41, 1.927), (2.41, 1.951), (2.41, 1.976), (2.41, 2.0), (2.41, 2.026), (2.41, 2.055), (2.41, 2.084), (2.41, 2.111), (2.41, 2.138), (2.41, 2.165), (2.41, 2.19), (2.41, 2.217), (2.41, 2.244), (2.41, 2.274), (2.41, 2.299), (2.41, 2.322), (2.41, 2.347), (2.41, 2.372))"
"('grid3FR', 'U1S', 'BFS', True)",2.81,-,"((2.81, 60.001),)"
"('grid3FR', 'U1S', 'BNB', True)",2.84,13.796290302000003,"((2.84, 13.796290302000003),)"
"('grid3FR', 'U1D', 'MCTS', False)",2.01,0.69,"((0.43, 0.0), (1.71, 0.01), (2.01, 0.02), (2.01, 0.029), (2.01, 0.037), (2.01, 0.046), (1.23, 0.055), (1.23, 0.063), (1.23, 0.072), (1.23, 0.079), (1.23, 0.087), (1.23, 0.094), (1.23, 0.101), (1.23, 0.108), (1.23, 0.116), (1.23, 0.123), (1.23, 0.131), (1.23, 0.138), (1.23, 0.146), (1.23, 0.154), (1.23, 0.162), (1.23, 0.17), (1.23, 0.177), (1.23, 0.184), (1.23, 0.19), (1.23, 0.198), (1.23, 0.205), (1.23, 0.212), (1.23, 0.219), (1.23, 0.225), (1.23, 0.231), (1.23, 0.237), (1.23, 0.243), (1.23, 0.249), (1.23, 0.256), (1.23, 0.261), (1.23, 0.267), (1.23, 0.273), (1.23, 0.278), (1.23, 0.284), (1.23, 0.289), (1.23, 0.295), (1.23, 0.447), (1.23, 0.452), (1.23, 0.456), (1.23, 0.461), (1.23, 0.466), (2.01, 0.47), (2.01, 0.475), (2.01, 0.479), (2.01, 0.484), (2.01, 0.488), (2.01, 0.493), (2.01, 0.497), (2.01, 0.501), (2.01, 0.506), (2.01, 0.51), (2.01, 0.514), (2.01, 0.517), (2.01, 0.521), (2.01, 0.525), (2.01, 0.529), (2.01, 0.537), (2.01, 0.545), (2.01, 0.553), (2.01, 0.56), (2.01, 0.566), (2.01, 0.57), (2.01, 0.574), (2.01, 0.577), (2.01, 0.581), (2.01, 0.585), (2.01, 0.588), (2.01, 0.592), (2.01, 0.596), (2.01, 0.599), (2.01, 0.603), (2.01, 0.606), (2.01, 0.61), (2.01, 0.614), (2.01, 0.617), (2.01, 0.621), (2.01, 0.625), (2.01, 0.628), (2.01, 0.632), (2.01, 0.635), (2.01, 0.639), (2.01, 0.643), (2.01, 0.646), (2.01, 0.65), (2.01, 0.654), (2.01, 0.657), (2.01, 0.661), (2.01, 0.665), (2.01, 0.668), (2.01, 0.672), (2.01, 0.676), (2.01, 0.679), (2.01, 0.683), (2.01, 0.686), (2.01, 0.69))"
"('grid3FR', 'U1S', 'MCTS', False)",2.84,0.972,"((0.43, 0.001), (2.01, 0.033), (2.19, 0.067), (2.19, 0.088), (2.46, 0.109), (2.61, 0.137), (2.69, 0.163), (2.69, 0.188), (2.69, 0.208), (2.69, 0.228), (2.69, 0.246), (2.69, 0.263), (2.69, 0.279), (2.69, 0.296), (2.69, 0.313), (2.69, 0.332), (2.73, 0.35), (2.73, 0.37), (2.73, 0.39), (2.6, 0.409), (2.6, 0.429), (2.6, 0.447), (2.59, 0.463), (2.59, 0.48), (2.59, 0.495), (2.59, 0.511), (2.63, 0.529), (2.63, 0.544), (2.63, 0.557), (2.63, 0.569), (2.63, 0.581), (2.63, 0.596), (2.63, 0.609), (2.63, 0.624), (2.63, 0.635), (2.63, 0.647), (2.63, 0.659), (2.63, 0.669), (2.63, 0.68), (2.63, 0.688), (2.63, 0.698), (2.63, 0.709), (2.63, 0.719), (2.63, 0.728), (2.63, 0.736), (2.8, 0.741), (2.8, 0.748), (2.8, 0.756), (2.8, 0.764), (2.8, 0.77), (2.8, 0.776), (2.8, 0.784), (2.8, 0.791), (2.8, 0.798), (2.8, 0.804), (2.8, 0.809), (2.8, 0.813), (2.8, 0.817), (2.8, 0.821), (2.8, 0.825), (2.8, 0.83), (2.8, 0.834), (2.8, 0.838), (2.8, 0.842), (2.8, 0.847), (2.8, 0.85), (2.84, 0.855), (2.84, 0.86), (2.84, 0.864), (2.84, 0.867), (2.84, 0.871), (2.84, 0.874), (2.84, 0.877), (2.84, 0.881), (2.84, 0.884), (2.84, 0.887), (2.84, 0.891), (2.84, 0.894), (2.84, 0.898), (2.84, 0.901), (2.84, 0.904), (2.84, 0.908), (2.84, 0.911), (2.84, 0.914), (2.84, 0.918), (2.84, 0.921), (2.84, 0.925), (2.84, 0.928), (2.84, 0.931), (2.84, 0.935), (2.84, 0.938), (2.84, 0.941), (2.84, 0.945), (2.84, 0.948), (2.84, 0.952), (2.84, 0.955), (2.84, 0.959), (2.84, 0.962), (2.84, 0.965), (2.84, 0.968), (2.84, 0.972))"
"('grid3FR', 'U1S', 'BFS', False)",2.84,1.2948665259999927,"((2.84, 1.2948665259999927),)"
"('grid3FR', 'U1S', 'BNB', False)",2.84,0.604846632999994,"((2.84, 0.604846632999994),)"
